Host city,Year,Country,Type,Start,End,Participants (M),Participants (F),Participants,NOC,Duration
Tokyo,1964,Japan,Summer,1964-11-08,1964-11-12,195.0,71.0,266,JPN,4
Tel Aviv,1968,Israel,Summer,1968-11-05,1968-11-14,578.0,196.0,774,ISR,9
Heidelberg,1972,Germany,Summer,1972-08-02,1972-08-11,654.0,268.0,922,FRG,9
Heidelberg,1972,Germany,Summer,1972-08-02,1972-08-11,654.0,268.0,922,GDR,9
Heidelberg,1972,Germany,Summer,1972-08-02,1972-08-11,654.0,268.0,922,GER,9
Heidelberg,1972,Germany,Summer,1972-08-02,1972-08-11,654.0,268.0,922,SAA,9
Ornskoldsvik,1976,Sweden,Winter,1976-02-21,1976-02-28,161.0,37.0,198,SWE,7
Toronto,1976,Canada,Summer,1976-08-04,1976-08-12,1000.0,271.0,1271,CAN,8
Toronto,1976,Canada,Summer,1976-08-04,1976-08-12,1000.0,271.0,1271,NFL,8
Geilo,1980,Norway,Winter,1980-02-02,1980-02-08,229.0,70.0,299,NOR,6
Arnhem,1980,Netherlands,Summer,1980-06-22,1980-07-01,1225.0,428.0,1653,NED,9
Innsbruck,1984,Austria,Winter,1984-01-15,1984-01-21,325.0,94.0,419,AUT,6
Stoke Mandeville & New York,1984,Great Britain,Summer,1984-06-17,1984-08-01,1569.0,536.0,2105,GBR,45
Innsbruck,1988,Austria,Winter,1988-01-18,1988-01-25,300.0,77.0,377,AUT,7
Seoul,1988,Republic of Korea,Summer,1988-10-16,1988-10-25,2370.0,671.0,3041,KOR,9
Tignes Albertville,1992,France,Winter,1992-03-25,1992-04-02,288.0,77.0,365,FRA,8
Barcelona,1992,Spain,Summer,1992-09-05,1992-09-16,2300.0,699.0,2999,ESP,11
Lillehammer,1994,Norway,Winter,1994-03-10,1994-03-19,39.0,90.0,129,NOR,9
Atlanta,1996,USA,Summer,1996-08-16,1996-08-25,2462.0,790.0,3252,USA,9
Nagano,1998,Japan,Winter,1998-03-07,1998-03-16,440.0,122.0,562,JPN,9
Sydney,2000,Australia,Summer,2000-10-23,2000-10-31,2883.0,988.0,3871,ANZ,8
Sydney,2000,Australia,Summer,2000-10-23,2000-10-31,2883.0,988.0,3871,AUS,8
Salt Lake City,2002,USA,Winter,2002-03-09,2002-03-18,328.0,87.0,415,USA,9
Athens,2004,Greece,Summer,2004-09-23,2004-10-04,2600.0,1149.0,3749,CRT,11
Athens,2004,Greece,Summer,2004-09-23,2004-10-04,2600.0,1149.0,3749,GRE,11
Torino,2006,Italy,Winter,2006-03-12,2006-03-21,375.0,99.0,474,ITA,9
Beijing,2008,China,Summer,2008-09-06,2008-09-17,2585.0,1366.0,3951,CHN,11
Beijing,2008,China,Summer,2008-09-06,2008-09-17,2585.0,1366.0,3951,HKG,11
Vancouver,2010,Canada,Winter,2010-03-12,2010-03-21,381.0,121.0,502,CAN,9
Vancouver,2010,Canada,Winter,2010-03-12,2010-03-21,381.0,121.0,502,NFL,9
London,2012,Great Britain,Summer,2012-08-29,2012-09-09,2741.0,1502.0,4243,GBR,11
Sochi,2014,Russia,Winter,2014-03-07,2014-03-16,411.0,129.0,540,EUN,9
Sochi,2014,Russia,Winter,2014-03-07,2014-03-16,411.0,129.0,540,RUS,9
Sochi,2014,Russia,Winter,2014-03-07,2014-03-16,411.0,129.0,540,URS,9
Rio,2016,Brazil,Summer,2016-09-07,2016-09-18,2657.0,1670.0,4327,BRA,11
PyeongChang,2018,Republic of Korea,Winter,2018-03-09,2018-03-18,430.0,133.0,563,KOR,9
